City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
243,Yulara,AU,77.0,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
245,Isangel,VU,83.82,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
248,San Policarpo,PH,81.88,overcast clouds,12.1791,125.5072,JM Lodge
252,Cotonou,BJ,84.2,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
255,Ternate,ID,84.42,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
261,Malabo,GQ,75.2,few clouds,3.75,8.7833,Magno Suites
264,Baturaja,ID,86.94,broken clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
266,Bathsheba,BB,78.8,few clouds,13.2167,-59.5167,Atlantis Hotel
269,Port Macquarie,AU,84.0,clear sky,-31.4333,152.9167,Rydges Port Macquarie
273,Conde,BR,77.0,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
276,Wajir,KE,75.2,clear sky,1.7471,40.0573,Al-bustan Hotel And Restaurant.
284,Fare,PF,81.45,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
290,Kalmunai,LK,79.38,overcast clouds,7.4167,81.8167,VS Villa
294,Lorengau,PG,78.53,heavy intensity rain,-2.0226,147.2712,Lorengau Harbourside Hotel
295,Richards Bay,ZA,75.96,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
305,Paka,MY,84.0,scattered clouds,4.6374,103.4368,Rumbia Resort Villa Paka Terengganu
309,Saint-Joseph,RE,86.0,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
313,Hinatuan,PH,82.78,broken clouds,8.3722,126.3342,Villa Juanita Hinatuan
323,Kiunga,PG,79.92,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
329,Quatre Cocos,MU,84.99,scattered clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
334,Kirakira,SB,84.74,broken clouds,-10.4544,161.9205,SanBiz Lodge
335,Oistins,BB,78.8,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
337,Angoche,MZ,81.05,light rain,-16.2325,39.9086,Guest House HESADA
343,Padang,ID,89.6,few clouds,-0.9492,100.3543,Mercure Padang
345,Amahai,ID,83.26,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
349,Trelew,AR,86.85,clear sky,-43.248999999999995,-65.3051,Hotel Touring Club
355,Moranbah,AU,89.38,broken clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
356,Dingle,PH,82.98,light rain,10.9995,122.6711,SEGAYA PROPERTY
365,Lumding,IN,78.96,clear sky,25.7535,93.1732,Hotel Nilamber
366,Martapura,ID,86.0,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
371,Faanui,PF,82.36,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
373,Pointe-Noire,CG,75.2,moderate rain,-4.7761,11.8635,Kactus Lodge
375,Soyo,AO,80.19,overcast clouds,-6.1349,12.3689,Hotel Mpampa
384,Broken Hill,AU,75.2,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
398,Pitimbu,BR,77.0,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
399,Mayumba,GA,79.32,overcast clouds,-3.432,10.6554,LIKWALE LODGE
400,Kapit,MY,84.92,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
403,Pangai,TO,82.4,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
404,Waingapu,ID,85.93,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
410,Geraldton,AU,80.6,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
421,Sibolga,ID,85.39,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
423,Veraval,IN,76.96,clear sky,20.9,70.3667,Lords Inn Somnath
427,Porto Novo,BJ,82.4,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
