City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
139,Komsomolskiy,UZ,40.4272,71.7189,44.6,45,69,4.61,broken clouds
140,Morondava,MG,-20.2833,44.2833,82.72,79,100,6.31,overcast clouds
141,Beloha,MG,-25.1667,45.05,86.74,57,11,10.47,few clouds
142,Mount Gambier,AU,-37.8333,140.7667,73.4,35,75,18.41,broken clouds
143,Brazzaville,CG,-4.2658,15.2832,75.2,88,100,2.3,overcast clouds
144,Dunedin,NZ,-45.8742,170.5036,55.99,72,72,24.0,broken clouds
145,Jamestown,US,42.097,-79.2353,33.01,93,90,10.36,snow
146,Aksarka,RU,66.5606,67.7975,-23.64,87,56,4.45,broken clouds
147,Sabzevar,IR,36.2126,57.6819,32.0,51,0,9.22,clear sky
148,Krasnoselkup,RU,65.7,82.4667,-25.74,85,20,5.95,few clouds
149,Lloydminster,CA,53.2835,-110.0016,-0.4,71,90,17.27,light snow
150,Port Blair,IN,11.6667,92.75,83.07,69,12,13.35,few clouds
151,Aklavik,CA,68.2191,-135.0107,-34.6,74,90,2.3,light snow
152,Kipushi,CD,-11.7667,27.2333,63.91,96,99,2.42,overcast clouds
153,Lagoa,PT,39.05,-27.9833,54.1,69,63,19.46,broken clouds
154,Tasiilaq,GL,65.6145,-37.6368,24.8,74,20,9.22,few clouds
155,Hilo,US,19.7297,-155.09,71.6,73,90,9.22,light rain
156,Lebu,CL,-37.6167,-73.65,59.76,81,0,5.41,clear sky
157,Gold Coast,AU,-28.0,153.4333,82.4,54,40,16.11,scattered clouds
158,Dikson,RU,73.5069,80.5464,-18.27,85,97,10.2,overcast clouds
159,Yatou,CN,37.15,122.3833,45.09,62,100,20.18,overcast clouds
160,Georgetown,MY,5.4112,100.3354,90.0,43,20,5.75,few clouds
161,Shujalpur,IN,23.4,76.7167,64.4,59,40,6.91,haze
162,Ketchikan,US,55.3422,-131.6461,39.2,100,20,10.36,few clouds
163,Chicama,PE,-7.8447,-79.1469,72.72,67,99,3.78,overcast clouds
164,Pacific Grove,US,36.6177,-121.9166,50.0,76,1,6.91,clear sky
165,Ottumwa,US,41.02,-92.4113,18.0,79,1,11.5,clear sky
166,Antofagasta,CL,-23.65,-70.4,64.4,77,20,3.44,few clouds
167,Limbang,MY,4.75,115.0,84.2,74,75,10.36,broken clouds
168,General Pico,AR,-35.6566,-63.7568,67.42,47,0,7.99,clear sky
169,Killybegs,IE,54.6333,-8.45,39.99,92,99,5.01,overcast clouds
170,Luderitz,NA,-26.6481,15.1594,65.05,67,0,17.49,clear sky
171,Coos Bay,US,43.3665,-124.2179,42.8,93,1,3.44,clear sky
172,Saldanha,ZA,-33.0117,17.9442,59.0,94,0,1.14,clear sky
173,Kavieng,PG,-2.5744,150.7967,83.37,74,75,3.53,moderate rain
174,Goderich,CA,43.7501,-81.7165,32.0,93,100,20.71,light snow
175,Muisne,EC,0.6,-80.0333,76.66,90,99,5.08,light rain
176,Sinnamary,GF,5.3833,-52.95,76.62,81,72,12.64,broken clouds
177,Tabory,RU,58.5198,64.5495,14.29,97,98,4.14,overcast clouds
178,Kruszwica,PL,52.6756,18.3313,10.4,92,0,1.14,clear sky
179,Mortka,RU,59.3322,66.0214,11.48,97,87,4.56,overcast clouds
180,Montepuez,MZ,-13.1256,38.9997,73.26,91,5,0.81,clear sky
181,Faya,SA,18.3851,42.4509,60.8,36,0,11.5,clear sky
182,Svetlogorsk,BY,52.6333,29.7333,10.9,94,93,10.4,overcast clouds
183,Dzhebariki-Khaya,RU,62.2167,135.8,-37.35,77,100,1.97,overcast clouds
184,Fortuna,US,40.5982,-124.1573,43.0,93,1,6.91,clear sky
185,Atar,MR,20.5169,-13.0499,57.54,71,100,6.04,overcast clouds
186,Kamennomostskiy,RU,44.2983,40.1856,45.23,77,100,7.2,overcast clouds
187,Mareeba,AU,-17.0,145.4333,91.0,58,90,8.05,overcast clouds
188,Qaqortoq,GL,60.7167,-46.0333,14.0,41,60,3.44,broken clouds
189,Daru,PG,-9.0763,143.2092,85.32,79,32,11.83,scattered clouds
190,Hutchinson,US,38.0608,-97.9298,28.4,64,1,8.05,clear sky
191,Talnakh,RU,69.4865,88.3972,-23.71,86,98,1.21,overcast clouds
192,Vaini,TO,-21.2,-175.2,80.6,94,90,6.91,light rain
193,Cumra,TR,37.5732,32.7745,42.8,70,0,8.05,clear sky
194,Margate,GB,51.3813,1.3862,46.99,89,58,1.01,broken clouds
195,Ahuimanu,US,21.4447,-157.8378,69.8,56,20,9.22,few clouds
196,Kruisfontein,ZA,-34.0033,24.7314,63.0,94,0,1.01,clear sky
197,Kologriv,RU,58.8275,44.3178,6.85,95,100,3.38,overcast clouds
198,Morrope,PE,-6.5417,-80.0111,73.0,77,100,10.29,overcast clouds
199,Mackenzie,CA,55.2999,-123.1698,15.8,100,90,5.75,light snow
200,Idil,TR,37.3411,41.8895,45.25,81,92,1.12,overcast clouds
201,Zhanakorgan,KZ,43.9098,67.2495,39.52,73,98,11.65,overcast clouds
202,Touros,BR,-5.1989,-35.4608,77.0,88,40,8.05,scattered clouds
203,Khudumelapye,BW,-23.8833,24.75,66.69,91,98,7.76,moderate rain
204,Namatanai,PG,-3.6667,152.4333,84.58,71,57,4.99,moderate rain
205,Sonoita,MX,31.85,-112.8333,55.99,23,3,7.23,clear sky
206,Airai,TL,-8.9266,125.4092,69.53,85,100,4.76,overcast clouds
207,Maningrida,AU,-12.0667,134.2667,84.9,76,85,6.35,overcast clouds
208,Dali,CN,25.7,100.1833,61.83,29,9,4.23,clear sky
209,Puerto Escondido,MX,15.85,-97.0667,78.8,78,40,2.82,scattered clouds
210,Mumford,GH,5.2618,-0.759,79.39,88,0,7.31,clear sky
211,Mrakovo,RU,52.7161,56.6244,34.86,95,100,7.7,overcast clouds
212,Plastun,RU,44.7561,136.2939,19.13,80,1,7.16,clear sky
213,Tura,IN,25.5198,90.2201,79.02,34,0,1.57,clear sky
214,Grindavik,IS,63.8424,-22.4338,37.4,87,75,28.77,broken clouds
215,Alexandria,EG,31.2156,29.9553,62.6,72,40,17.27,scattered clouds
216,Lompoc,US,34.6391,-120.4579,48.99,93,1,4.61,clear sky
217,Sobolevo,RU,54.4299,31.8996,3.87,94,100,10.38,overcast clouds
218,Mahebourg,MU,-20.4081,57.7,84.2,65,40,9.22,scattered clouds
219,Mancio Lima,BR,-7.6142,-72.8958,73.96,96,100,2.06,overcast clouds
220,Homer,US,59.6425,-151.5483,24.8,93,1,10.36,clear sky
221,Severo-Kurilsk,RU,50.6789,156.125,13.39,85,80,9.19,broken clouds
222,Codrington,AU,-38.2667,141.9667,72.23,38,21,6.91,few clouds
223,Yangambi,CD,0.8102,24.4336,71.11,98,98,1.68,overcast clouds
224,Kisangani,CD,0.5167,25.2,71.46,96,78,0.58,broken clouds
225,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.97,84,0,15.93,clear sky
226,Cherskiy,RU,68.75,161.3,-6.93,76,94,6.31,overcast clouds
227,Oranjemund,NA,-28.55,16.4333,61.61,93,53,10.33,broken clouds
228,Bandarbeyla,SO,9.4942,50.8122,74.26,62,6,10.8,clear sky
229,Galveston,US,29.3669,-94.9669,64.99,88,90,18.41,overcast clouds
230,Marathon,US,44.9,-89.7668,17.6,73,90,17.27,light snow
231,Yabassi,CM,4.457,9.9682,78.8,100,75,2.3,broken clouds
232,Norman Wells,CA,65.282,-126.8329,-43.6,66,20,4.61,few clouds
233,Woodward,US,36.4337,-99.3904,32.0,59,1,8.05,clear sky
234,Lavrentiya,RU,65.5833,-171.0,-6.57,90,100,17.83,light snow
