City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
88,Matara,LK,2021-02-03 02:05:44,5.9485,80.5353,76.08,85,39,3.78
89,Nanortalik,GL,2021-02-03 02:05:44,60.1432,-45.2371,15.73,84,0,20.15
90,Bluff,NZ,2021-02-03 02:05:45,-46.6,168.3333,57.99,75,91,7.05
91,Nome,US,2021-02-03 02:05:45,64.5011,-165.4064,10.4,61,90,21.85
92,Lebu,CL,2021-02-03 02:05:45,-37.6167,-73.65,57.54,87,0,13.24
93,Sur,OM,2021-02-03 02:05:45,22.5667,59.5289,64.6,68,33,1.3
94,Ribeira Grande,PT,2021-02-03 02:05:45,38.5167,-28.7,57.11,66,81,35.3
95,Jamestown,US,2021-02-03 02:04:49,42.097,-79.2353,28.99,80,90,16.11
96,Namatanai,PG,2021-02-03 02:05:45,-3.6667,152.4333,82.8,73,91,7.96
97,Fortuna,US,2021-02-03 02:05:45,40.5982,-124.1573,48.99,76,1,2.53
98,Praia Da Vitoria,PT,2021-02-03 02:05:45,38.7333,-27.0667,54.0,76,40,22.59
99,Horta,PT,2021-02-03 02:05:46,38.5333,-28.6333,55.94,68,86,34.69
100,Zhelyabovka,UA,2021-02-03 02:05:46,45.3988,34.7578,46.54,85,100,2.04
101,Fort Nelson,CA,2021-02-03 02:05:46,58.8053,-122.7002,-7.6,71,90,6.91
102,Zeya,RU,2021-02-03 02:05:46,53.75,127.2667,-19.82,76,69,3.22
103,Mineral Wells,US,2021-02-03 02:05:47,32.8085,-98.1128,55.0,43,1,11.5
104,Lompoc,US,2021-02-03 02:05:47,34.6391,-120.4579,55.4,88,1,8.05
105,Xining,CN,2021-02-03 02:05:47,36.6167,101.7667,22.5,59,0,3.02
106,Yulara,AU,2021-02-03 02:01:12,-25.2406,130.9889,89.6,18,45,14.97
107,Atuona,PF,2021-02-03 02:05:47,-9.8,-139.0333,78.48,74,27,13.29
108,Butaritari,KI,2021-02-03 02:05:47,3.0707,172.7902,82.08,83,94,16.75
109,Olinda,BR,2021-02-03 02:05:48,-8.0089,-34.8553,78.8,73,40,5.75
110,Esperance,AU,2021-02-03 02:05:48,-33.8667,121.9,75.2,53,49,14.97
111,Dikson,RU,2021-02-03 02:05:48,73.5069,80.5464,-24.43,85,3,13.27
112,Bathsheba,BB,2021-02-03 02:05:48,13.2167,-59.5167,78.8,65,75,21.85
113,Isangel,VU,2021-02-03 02:05:48,-19.55,169.2667,86.0,74,75,17.27
114,Bethel,US,2021-02-03 02:05:48,41.3712,-73.414,26.6,80,90,6.91
115,Cidreira,BR,2021-02-03 02:05:48,-30.1811,-50.2056,78.1,86,99,13.42
116,Viedma,AR,2021-02-03 02:05:49,-40.8135,-62.9967,64.0,70,0,11.36
117,Horadiz,AZ,2021-02-03 02:05:49,39.4488,47.3353,33.8,100,90,7.25
118,Pangnirtung,CA,2021-02-03 02:05:49,66.1451,-65.7125,-15.99,74,100,1.01
119,Kapaa,US,2021-02-03 02:05:50,22.0752,-159.319,77.0,73,40,10.36
120,Kismayo,SO,2021-02-03 02:05:50,-0.3582,42.5454,75.67,84,27,13.2
121,Trairi,BR,2021-02-03 02:01:01,-3.2778,-39.2689,78.21,79,29,10.92
122,New Norfolk,AU,2021-02-03 02:05:50,-42.7826,147.0587,70.0,39,36,3.0
123,Ciudad Guayana,VE,2021-02-03 02:05:50,8.3533,-62.6528,79.0,80,69,4.0
124,Aripuana,BR,2021-02-03 02:05:50,-9.1667,-60.6333,74.35,95,100,1.28
125,Volchikha,RU,2021-02-03 02:05:50,52.0333,80.3833,14.23,94,100,13.65
126,Provideniya,RU,2021-02-03 02:05:50,64.3833,-173.3,5.68,91,100,16.96
127,Saint-Pierre,RE,2021-02-03 02:05:50,-21.3393,55.4781,78.8,69,0,5.75
128,Deputatskiy,RU,2021-02-03 02:05:50,69.3,139.9,-27.06,88,100,2.48
129,Axim,GH,2021-02-03 02:03:22,4.8699,-2.2405,78.53,88,0,6.49
130,Ondjiva,AO,2021-02-03 02:05:51,-17.0667,15.7333,66.34,50,98,5.91
131,Egvekinot,RU,2021-02-03 02:05:51,66.3167,-179.1667,-0.51,91,100,11.92
132,Bredasdorp,ZA,2021-02-03 02:05:51,-34.5322,20.0403,57.2,94,0,5.75
133,Batemans Bay,AU,2021-02-03 02:05:52,-35.7167,150.1833,72.0,57,90,4.0
134,Vila Franca Do Campo,PT,2021-02-03 02:05:52,37.7167,-25.4333,55.4,76,20,27.63
135,Mnogovershinnyy,RU,2021-02-03 02:05:52,53.9353,139.9242,-26.7,83,99,7.2
136,Yar-Sale,RU,2021-02-03 02:05:52,66.8333,70.8333,2.62,94,81,5.23
137,Vaini,TO,2021-02-03 02:05:52,-21.2,-175.2,82.4,83,90,6.91
138,Georgetown,MY,2021-02-03 02:01:17,5.4112,100.3354,82.4,83,20,3.44
139,Goderich,CA,2021-02-03 02:01:20,43.7501,-81.7165,26.6,68,92,10.36
140,Salym,RU,2021-02-03 02:05:52,60.0625,71.4789,10.11,96,65,4.79
141,Moustheni,GR,2021-02-03 02:05:53,40.8667,24.1167,52.0,93,20,3.09
142,Sitka,US,2021-02-03 02:05:53,57.0531,-135.33,33.8,69,20,7.56
143,Tuatapere,NZ,2021-02-03 02:05:53,-46.1333,167.6833,58.68,76,91,9.66
144,Cherskiy,RU,2021-02-03 02:05:53,68.75,161.3,1.87,85,0,3.42
145,Saint Anthony,US,2021-02-03 02:05:53,45.0205,-93.218,21.99,79,1,4.7
146,Faya,SA,2021-02-03 02:05:53,18.3851,42.4509,55.4,41,0,2.68
147,Auki,SB,2021-02-03 02:05:54,-8.7676,160.7034,77.85,92,100,12.12
148,Port Elizabeth,ZA,2021-02-03 02:03:11,-33.918,25.5701,64.4,88,0,3.44
149,Birjand,IR,2021-02-03 02:05:54,32.8663,59.2211,24.8,54,0,6.91
150,Vila Velha,BR,2021-02-03 02:05:54,-20.3297,-40.2925,78.8,78,40,5.75
151,Batagay,RU,2021-02-03 02:05:54,67.6333,134.6333,-40.18,77,100,2.98
152,Lavrentiya,RU,2021-02-03 02:05:54,65.5833,-171.0,4.57,85,100,24.74
153,Zheshart,RU,2021-02-03 02:05:55,62.0731,49.5733,11.79,95,100,8.61
154,Kefamenanu,ID,2021-02-03 02:05:55,-9.4467,124.4781,75.42,87,100,1.86
155,Saldanha,ZA,2021-02-03 02:05:55,-33.0117,17.9442,62.6,82,0,8.05
156,Flinders,AU,2021-02-03 02:05:55,-34.5833,150.8552,78.01,50,18,5.99
157,Stornoway,GB,2021-02-03 02:05:55,58.2093,-6.3865,39.2,65,20,18.41
158,Hilo,US,2021-02-03 02:05:55,19.7297,-155.09,78.8,61,75,11.5
159,Laguna,US,2021-02-03 02:05:55,38.421,-121.4238,55.99,82,75,5.75
160,Saint George,US,2021-02-03 02:05:56,37.1041,-113.5841,57.2,54,1,4.61
161,Pirgos,GR,2021-02-03 02:05:56,35.1167,25.7178,60.01,73,100,6.82
162,Chokurdakh,RU,2021-02-03 02:05:56,70.6333,147.9167,-11.81,89,18,5.3
163,Severo-Kurilsk,RU,2021-02-03 02:05:56,50.6789,156.125,22.48,91,100,45.28
164,Pimentel,PE,2021-02-03 02:05:56,-6.8367,-79.9342,70.23,82,26,12.55
165,Mgachi,RU,2021-02-03 02:05:56,51.05,142.2667,-18.45,84,100,12.41
166,Chuy,UY,2021-02-03 02:05:56,-33.6971,-53.4616,73.51,88,97,3.76
167,Tessalit,ML,2021-02-03 02:05:56,20.1986,1.0114,64.74,24,40,8.05
168,Mehamn,NO,2021-02-03 02:05:57,71.0357,27.8492,24.48,90,98,17.94
169,Kununurra,AU,2021-02-03 02:05:57,-15.7667,128.7333,89.6,79,100,3.44
170,Cabano,PH,2021-02-03 02:05:57,10.5869,122.7002,81.27,76,64,22.77
171,Yuli,NG,2021-02-03 02:05:57,9.6989,10.2744,72.91,20,0,7.25
172,Dongsheng,CN,2021-02-03 02:01:28,39.8161,109.9776,17.17,67,0,16.73
173,Piney Green,US,2021-02-03 02:05:57,34.716,-77.3202,39.2,56,1,12.66
174,Tiksi,RU,2021-02-03 02:05:57,71.6872,128.8694,-0.54,93,100,14.29
175,Phuket,TH,2021-02-03 02:05:57,8.0,98.25,80.6,78,20,5.75
176,Caravelas,BR,2021-02-03 02:05:58,-17.7125,-39.2481,75.87,87,100,5.35
177,Buala,SB,2021-02-03 02:05:58,-8.145,159.5921,78.33,91,100,15.32
178,Kishtwar,IN,2021-02-03 02:05:58,33.3167,75.7667,37.74,63,99,3.62
179,Ostrovnoy,RU,2021-02-03 02:05:58,68.0531,39.5131,24.06,97,100,9.73
180,Chipinge,ZW,2021-02-03 02:05:58,-20.1883,32.6236,64.26,100,94,1.45
181,Freeport,US,2021-02-03 02:03:44,40.6576,-73.5832,32.0,86,90,10.36
182,Leningradskiy,RU,2021-02-03 02:05:58,69.3833,178.4167,-7.19,86,100,18.12
183,Dakar,SN,2021-02-03 02:05:59,14.6937,-17.4441,66.2,72,0,14.97
184,Hun,LY,2021-02-03 02:05:59,29.1268,15.9477,43.0,93,0,4.09
185,Amga,RU,2021-02-03 02:05:59,60.8953,131.9608,-36.18,78,100,4.18
186,Sept-Iles,CA,2021-02-03 02:01:40,50.2001,-66.3821,28.4,43,100,8.05
187,Salvador,SV,2021-02-03 02:05:59,13.8333,-88.9167,78.8,38,0,16.11
188,Kousseri,CM,2021-02-03 02:06:00,12.0769,15.0306,66.2,32,0,2.3
189,Hasaki,JP,2021-02-03 02:02:00,35.7333,140.8333,48.2,40,20,14.97
190,Sri Aman,MY,2021-02-03 02:06:01,1.2376,111.4621,77.0,100,40,3.27
191,Ambilobe,MG,2021-02-03 02:06:01,-13.2,49.05,73.94,92,67,2.08
192,Putina,PE,2021-02-03 02:06:01,-15.4667,-69.4333,48.79,75,100,8.7
193,Chaihe,CN,2021-02-03 02:06:01,44.7667,129.7,-5.42,85,0,8.48
194,Coquimbo,CL,2021-02-03 02:04:03,-29.9533,-71.3436,59.0,82,0,2.3
195,Eureka,US,2021-02-03 02:06:01,40.8021,-124.1637,48.99,75,0,5.01
196,Port Moresby,PG,2021-02-03 02:06:02,-9.4431,147.1797,78.8,94,75,16.11
197,Colares,PT,2021-02-03 02:06:02,38.7992,-9.4469,59.0,99,100,20.0
198,Camocim,BR,2021-02-03 02:06:02,-2.9022,-40.8411,78.28,77,17,14.07
199,Carbonia,IT,2021-02-03 02:06:03,39.1672,8.5222,51.01,100,0,6.91
200,Soe,ID,2021-02-03 02:06:03,-9.8607,124.284,70.03,98,100,4.18
201,Yokadouma,CM,2021-02-03 02:06:03,3.5167,15.05,71.37,80,98,1.34
202,Geraldton,AU,2021-02-03 02:06:03,-28.7667,114.6,80.6,61,75,14.97
203,Belmopan,BZ,2021-02-03 02:06:03,17.25,-88.7667,64.0,65,54,2.08
204,Praxedis Guerrero,MX,2021-02-03 02:06:03,31.3667,-106.0167,64.4,24,40,6.91
205,Bambous Virieux,MU,2021-02-03 02:06:03,-20.3428,57.7575,78.8,83,20,1.14
206,Sovetskiy,RU,2021-02-03 02:06:04,61.3614,63.5842,3.22,93,80,5.73
207,Humberto De Campos,BR,2021-02-03 02:06:04,-2.5983,-43.4611,77.04,87,37,7.0
208,Dwarka,IN,2021-02-03 02:06:05,22.2394,68.9678,67.96,80,0,7.58
209,Vysokogornyy,RU,2021-02-03 02:06:05,50.1167,139.15,-27.67,79,100,6.76
210,Malinovoye Ozero,RU,2021-02-03 02:06:05,51.6753,79.7825,15.1,93,100,11.77
211,Sao Joao Da Barra,BR,2021-02-03 02:01:37,-21.6403,-41.0511,77.07,86,55,15.75
212,Iqaluit,CA,2021-02-03 02:06:06,63.7506,-68.5145,-16.6,69,90,0.76
213,Ancud,CL,2021-02-03 02:06:06,-41.8697,-73.8203,57.99,82,0,10.36
214,Luebo,CD,2021-02-03 02:06:06,-5.35,21.4167,70.02,95,99,1.74
215,Carnarvon,AU,2021-02-03 02:06:06,-24.8667,113.6333,75.2,100,90,20.71
216,Kindu,CD,2021-02-03 02:06:06,-2.95,25.95,69.3,93,86,1.97
217,Ende,ID,2021-02-03 02:06:06,-8.8432,121.6623,84.56,70,98,4.7
218,Alyangula,AU,2021-02-03 02:06:06,-13.8483,136.4192,89.6,70,75,5.75
219,Le Port,RE,2021-02-03 02:06:07,-20.9373,55.2919,77.0,78,90,17.27
220,Arraial Do Cabo,BR,2021-02-03 02:06:07,-22.9661,-42.0278,76.1,87,44,22.88
221,Bereda,ES,2021-02-03 02:06:07,43.2686,-7.5406,52.0,91,90,15.99
222,Nautla,MX,2021-02-03 02:06:07,20.2167,-96.7833,67.69,67,79,6.02
223,Boende,CD,2021-02-03 02:06:07,-0.2167,20.8667,72.5,88,1,2.51
224,Silale,LT,2021-02-03 02:06:07,55.4906,22.1814,27.03,99,100,6.76
225,Antalaha,MG,2021-02-03 02:06:08,-14.9003,50.2788,75.2,87,18,5.95
226,Carutapera,BR,2021-02-03 02:06:08,-1.195,-46.02,78.53,82,76,6.91
227,Maloy,NO,2021-02-03 02:06:08,61.9353,5.1136,27.0,79,0,6.91
228,Avera,US,2021-02-03 02:06:08,33.194,-82.5271,41.0,42,1,12.66
229,Korla,CN,2021-02-03 02:06:08,41.7597,86.1469,25.25,78,4,4.16
230,Rocha,UY,2021-02-03 02:06:08,-34.4833,-54.3333,69.6,96,97,3.13
231,Glenwood Springs,US,2021-02-03 02:04:20,39.5505,-107.3248,39.99,86,1,11.5
232,Komsomolskiy,UZ,2021-02-03 02:06:10,40.4272,71.7189,32.0,80,40,6.91
233,Boden,SE,2021-02-03 02:06:10,65.8252,21.6886,10.4,92,90,2.3
234,Sao Joao Evangelista,BR,2021-02-03 02:06:10,-18.5478,-42.7633,67.05,91,100,4.23
235,Oussouye,SN,2021-02-03 02:06:10,12.485,-16.5469,71.6,88,0,2.3
236,Muros,ES,2021-02-03 02:06:10,42.7762,-9.0603,57.0,80,14,18.01
237,Raudeberg,NO,2021-02-03 02:06:10,61.9875,5.1352,27.0,78,0,4.76
238,Cruzeiro Do Sul,BR,2021-02-03 02:06:10,-29.5128,-51.9853,77.0,93,100,1.01
239,Elliot Lake,CA,2021-02-03 02:06:11,46.3834,-82.6331,23.0,54,1,13.8
240,Kiama,AU,2021-02-03 02:06:11,-34.6833,150.8667,78.01,50,70,5.99
241,Svetlogorsk,BY,2021-02-03 02:06:11,52.6333,29.7333,22.39,98,100,9.13
242,Nuuk,GL,2021-02-03 02:06:11,64.1835,-51.7216,6.8,61,75,8.05
243,Puerto Ayora,EC,2021-02-03 02:06:11,-0.7393,-90.3518,77.29,85,100,5.73
244,Jalu,LY,2021-02-03 02:06:11,29.0331,21.5482,52.07,55,13,5.21
245,Carballo,ES,2021-02-03 02:06:11,43.213,-8.691,55.0,80,27,5.99
246,Bengkulu,ID,2021-02-03 02:01:33,-3.8004,102.2655,81.82,72,100,4.34
247,Pacific Grove,US,2021-02-03 02:06:11,36.6177,-121.9166,54.0,94,75,3.44
248,Lom Sak,TH,2021-02-03 02:06:12,16.7798,101.2422,68.0,83,20,2.3
249,Haines Junction,CA,2021-02-03 02:06:12,60.7522,-137.5108,-9.4,64,85,1.14
250,Teguldet,RU,2021-02-03 02:06:12,57.3064,88.1667,9.75,95,100,7.05
251,Baykit,RU,2021-02-03 02:06:12,61.67,96.37,-11.74,85,100,1.83
252,Salta,AR,2021-02-03 02:02:44,-24.7859,-65.4117,60.8,94,90,5.75
253,Nioki,CD,2021-02-03 02:06:13,-2.7167,17.6833,71.47,94,50,1.72
254,Novopavlovsk,RU,2021-02-03 02:01:19,43.9622,43.6342,39.2,52,19,4.47
255,Manbij,SY,2021-02-03 02:06:13,36.5281,37.9549,42.8,87,0,4.61
256,Tarauaca,BR,2021-02-03 02:06:13,-8.1614,-70.7656,74.57,81,99,1.5
257,Alghero,IT,2021-02-03 02:06:13,40.5589,8.3181,55.4,94,0,10.36
258,Salalah,OM,2021-02-03 02:04:29,17.0151,54.0924,66.2,39,0,4.61
259,Wattegama,LK,2021-02-03 02:06:13,6.7989,81.4808,77.0,100,90,13.8
260,Fuerte Olimpo,PY,2021-02-03 02:06:13,-21.0415,-57.8738,82.58,65,86,5.19
261,Severo-Yeniseyskiy,RU,2021-02-03 02:06:14,60.3725,93.0408,-13.88,90,98,3.58
262,Atar,MR,2021-02-03 02:06:14,20.5169,-13.0499,68.5,21,2,5.99
263,Vakhrushev,RU,2021-02-03 02:06:14,48.9833,142.9667,-13.45,81,34,2.57
264,Merrill,US,2021-02-03 02:04:32,45.1805,-89.6835,21.99,92,1,4.0
265,Gijon,ES,2021-02-03 02:06:14,43.5357,-5.6615,57.99,86,48,5.73
266,Kimbe,PG,2021-02-03 02:06:14,-5.5502,150.1429,77.79,90,100,4.12
267,Kruisfontein,ZA,2021-02-03 02:06:14,-34.0033,24.7314,69.12,56,0,7.05
